Gene	GSM1337304	GSM1337305	GSM1337306	GSM1337307	GSM1337308	GSM1337309	GSM1337310	GSM1337311	GSM1337312	GSM1337313	GSM1332201	GSM1332202	GSM1332203	GSM1332204	GSM1332205	GSM1332206	GSM1332207	GSM1332208	GSM1332209	GSM1332210	GSM1332211	GSM1332212	GSM1332213	GSM1332214	GSM1332215	GSM1332216	GSM1332217	GSM1332218	GSM1332219	GSM1332220	GSM1339628	GSM1339629	GSM1339630	GSM1339631	GSM1339632	GSM1339633	GSM1337327	GSM1337328	GSM1337329	GSM1337330	GSM1337331	GSM1337332	GSM1337333	GSM1337334	GSM1337335	GSM1337336
MSX1	650.4616667	248.9616667	263.2616667	1053.061667	703.9616667	207.0616667	142.0616667	273.7616667	298.9616667	311.7616667	285.0816667	318.3816667	256.5816667	370.0816667	446.7816667	366.8816667	366.1816667	392.8816667	268.0816667	341.4816667	281.9816667	236.8816667	273.0816667	310.6816667	221.4816667	310.6816667	223.6816667	250.4816667	258.0816667	250.6816667	97.65666667	513.2566667	305.8566667	129.6566667	626.9566667	135.6566667	182.2616667	102.6616667	131.5616667	156.8616667	245.1616667	199.3616667	258.4616667	121.8616667	368.9616667	109.6616667
ATIC	346.0472222	576.0472222	500.5472222	975.6472222	877.7472222	882.3472222	804.0472222	569.2472222	736.7472222	611.4472222	877.2772222	777.3772222	834.6772222	986.2772222	849.9772222	800.2772222	1014.177222	795.7772222	887.1772222	961.1772222	835.7772222	836.8772222	746.6772222	825.6772222	882.4772222	817.4772222	899.3772222	880.6772222	911.3772222	832.2772222	812.7755556	861.3755556	1097.075556	528.0755556	955.8755556	920.6755556	993.9472222	1279.547222	894.4472222	1090.247222	834.5472222	1161.247222	1042.947222	1112.947222	901.3472222	1061.747222
LOC440434	458.4261111	360.2261111	511.3261111	353.6261111	207.2261111	721.1261111	478.6261111	837.7261111	1097.026111	767.2261111	366.9561111	442.0561111	387.6561111	378.9561111	432.4561111	402.3561111	365.2561111	363.0561111	464.2561111	417.5561111	440.1561111	482.2561111	384.0561111	411.8561111	384.0561111	429.4561111	366.5561111	392.5561111	449.8561111	448.6561111	459.7177778	359.8177778	529.9177778	459.4177778	288.1177778	366.0177778	255.9261111	225.7261111	264.2261111	225.0261111	219.9261111	238.9261111	174.4261111	156.6261111	124.3261111	532.3261111
SLC29A3	14.695	321.895	42.495	-21.805	19.395	141.495	499.695	438.795	421.295	277.295	381.345	421.545	366.045	295.745	318.145	380.945	358.845	281.345	380.645	375.245	426.945	394.145	387.745	406.245	466.745	440.745	415.745	504.245	429.045	474.745	404.86	381.56	404.16	291.16	342.16	547.96	651.495	843.995	452.495	693.795	454.695	585.695	339.895	853.995	386.695	488.195
ZEB2	550.7616667	610.2616667	867.9616667	956.9616667	936.7616667	355.9616667	244.2616667	558.3616667	411.4616667	385.0616667	426.4266667	479.2266667	365.0266667	364.5266667	566.7266667	653.0266667	348.5266667	458.5266667	585.3266667	366.2266667	518.1266667	485.3266667	690.4266667	350.9266667	407.6266667	410.7266667	499.5266667	694.9266667	504.7266667	462.3266667	525.7116667	427.5116667	706.7116667	306.8116667	266.6116667	658.1116667	452.3616667	443.6616667	275.5616667	205.3616667	182.5616667	519.8616667	332.9616667	569.9616667	553.1616667	224.9616667
FAM65A	787.5188889	786.7188889	363.4188889	294.8188889	83.41888889	591.2188889	756.1188889	990.6188889	698.7188889	750.9188889	517.2188889	516.4188889	506.0188889	587.9188889	717.9188889	520.6188889	610.1188889	685.7188889	607.2188889	537.5188889	608.2188889	607.9188889	571.7188889	588.4188889	559.1188889	502.3188889	602.1188889	748.6188889	583.2188889	457.2188889	546.6622222	517.2622222	660.2622222	660.1622222	580.2622222	526.0622222	717.8188889	728.9188889	480.5188889	359.5188889	480.9188889	493.9188889	13.31888889	627.4188889	707.7188889	922.0188889
CDC42EP4	259.915	373.015	866.615	663.015	1077.315	413.815	322.215	326.915	397.415	407.615	288.185	522.785	457.385	729.685	824.985	585.885	504.185	703.185	593.985	553.085	355.385	336.885	350.385	314.385	265.285	374.785	354.285	314.885	445.585	399.785	305.1	581.7	637.2	463.4	416.9	378.2	440.215	364.815	617.515	388.615	618.115	251.315	333.915	444.015	429.215	279.415
AMOTL2	364.2116667	563.3116667	1280.811667	239.1116667	899.2116667	847.5116667	746.1116667	530.0116667	475.7116667	428.8116667	501.9266667	560.7266667	674.3266667	601.9266667	737.6266667	806.1266667	598.1266667	565.7266667	701.9266667	667.8266667	579.7266667	500.4266667	640.9266667	604.1266667	548.1266667	540.8266667	469.0266667	606.3266667	669.4266667	600.0266667	441.2616667	584.3616667	444.2616667	611.0616667	893.8616667	677.7616667	489.6116667	432.5116667	689.3116667	515.4116667	832.4116667	502.5116667	537.8116667	308.0116667	721.6116667	771.2116667
ARHGEF3	1022.407778	905.8077778	741.7077778	253.1077778	376.1077778	542.7077778	886.7077778	454.3077778	608.9077778	623.5077778	591.4727778	536.9727778	637.7727778	593.9727778	646.6727778	1006.872778	542.6727778	579.1727778	692.7727778	501.8727778	729.3727778	565.0727778	720.5727778	732.1727778	659.8727778	737.1727778	677.7727778	798.7727778	730.4727778	491.5727778	298.7194444	815.0194444	649.0194444	492.4194444	655.3194444	1041.419444	855.0077778	665.2077778	550.2077778	469.6077778	578.0077778	757.8077778	824.0077778	952.0077778	578.7077778	527.2077778
CANT1	263.0722222	103.3722222	-17.92777778	351.1722222	329.0722222	333.4722222	503.5722222	286.9722222	126.7722222	581.1722222	455.4222222	495.0222222	462.7222222	516.1222222	424.3222222	442.2222222	419.0222222	425.4222222	438.6222222	423.9222222	448.5222222	496.7222222	447.4222222	499.2222222	459.8222222	419.7222222	415.1222222	432.4222222	470.7222222	412.9222222	507.2055556	449.8055556	500.3055556	474.4055556	221.5055556	548.4055556	560.2722222	1097.172222	728.9722222	444.0722222	746.7722222	725.6722222	292.9722222	628.4722222	550.2722222	370.0722222
